msbook,msnum,edition,vol,page
22j,2232,s3,27,321
22j,2233,c1,22,240
22j,2233,c2,22,240
22j,2234,pts1,4,142
22j,2239,c1,22,241
22j,2239,nd,22,233
22j,2239,c2,22,241
22j,2239,dy,27,320
22j,2239,bj,30,412
22j,2239,pts1,5,445
22j,2239,s3,27,322
22j,2239,vp,68,188
22j,2243,s3,27,323
22j,2244,dy,27,321
22j,2245,c1,22,242
22j,2245,nd,22,234
22j,2245,c2,22,242
22j,2247,bj,30,414
22j,2247,pts1,5,446
22j,2250,dy,27,322
22j,2250,s3,27,324
22j,2250,vp,68,189
22j,2252,pts1,4,154
22j,2254,c1,22,243
22j,2254,nd,22,235
22j,2254,c2,22,243
22j,2255,pts1,4,155
22j,2258,dy,27,323
22j,2258,bj,30,416
22j,2258,pts1,4,156
22j,2258,s3,27,325
22j,2263,pts1,4,157
22j,2263,vp,68,190
22j,2265,c1,22,244
22j,2265,nd,22,236
22j,2265,c2,22,244
22j,2265,pts1,4,160
22j,2266,dy,27,324
22j,2266,pts1,4,162
22j,2266,s3,27,326
22j,2268,bj,30,418
22j,2269,pts1,4,163
22j,2270,s3,27,327
22j,2271,c1,22,245
22j,2271,nd,22,237
22j,2271,c2,22,245
22j,2271,dy,27,325
22j,2272,pts1,4,164
22j,2274,,4,165
22j,2275,bj,30,420
22j,2275,s3,27,328
22j,2276,nd,22,238
22j,2276,dy,27,326
22j,2276,pts1,4,166
22j,2276,vp,68,191
22j,2278,c1,22,246
22j,2278,c2,22,246
22j,2278,pts1,4,172
22j,2282,s3,27,329
22j,2283,dy,27,327
22j,2284,bj,30,422
22j,2286,nd,22,239
22j,2286,pts1,4,173
22j,2287,c1,22,247
22j,2287,c2,22,247
22j,2287,pts1,4,175
22j,2289,s3,27,330
22j,2289,vp,68,192
22j,2291,dy,27,328
22j,2291,pts1,4,177
22j,2295,,4,178
22j,2297,nd,22,240
22j,2297,bj,30,424
22j,2298,s3,27,331
22j,2299,c1,22,248
22j,2299,c2,22,248
22j,2299,dy,27,329
22j,2304,pts1,4,183
22j,2304,vp,68,193
22j,2306,pts1,4,184
22j,2308,dy,27,330
22j,2308,s3,27,332
22j,2309,nd,22,241
22j,2310,bj,30,426
22j,2311,c1,22,249
22j,2311,c2,22,249
22j,2317,dy,27,331
22j,2317,pts1,4,186
22j,2317,s3,27,333
22j,2317,vp,68,194
22j,2320,nd,22,242
22j,2320,bj,30,428
22j,2322,c1,22,250
22j,2322,c2,22,250
22j,2325,dy,27,332
22j,2326,s3,27,334
22j,2330,bj,30,430
22j,2331,nd,22,243
22j,2331,vp,68,195
22j,2332,dy,27,333
22j,2333,c1,22,251
22j,2333,c2,22,251
22j,2333,s3,27,335
22j,2337,dy,27,334
22j,2339,nd,22,244
22j,2339,bj,30,432
22j,2339,pts1,4,186
22j,2339,s3,27,336
22j,2340,c1,22,252
22j,2340,c2,22,252
22j,2342,dy,27,335
22j,2343,s3,27,337
22j,2345,nd,22,245
22j,2345,vp,68,196
22j,2347,c1,22,253
22j,2347,c2,22,253
22j,2347,dy,27,336
22j,2347,bj,30,434
22j,2348,s3,27,338
22j,2352,nd,22,246
22j,2352,pts1,4,192
22j,2353,dy,27,337
22j,2356,c1,22,254
22j,2356,c2,22,254
22j,2356,s3,27,339
22j,2357,bj,30,436
22j,2359,pts1,4,193
22j,2359,vp,68,197
22j,2360,pts1,4,195
22j,2362,dy,27,338
22j,2363,nd,22,247
22j,2366,pts1,4,196
22j,2366,s3,27,340
22j,2368,c1,22,255
22j,2368,c2,22,255
22j,2368,bj,30,438
22j,2368,pts1,4,197
22j,2370,dy,27,339
22j,2372,vp,68,198
22j,2374,nd,22,248
22j,2374,pts1,4,198
22j,2374,s3,27,341
22j,2378,dy,27,340
22j,2378,bj,30,440
22j,2379,c1,22,256
22j,2379,c2,22,256
22j,2384,c1,22,257
22j,2384,nd,22,249
22j,2384,c2,22,257
22j,2384,dy,27,341
22j,2384,bj,30,442
22j,2384,pts1,4,203
22j,2384,s3,27,342
22j,2384,vp,68,199
22j,2385,pts1,4,204
22j,2388,dy,27,342
22j,2388,s3,27,343
22j,2389,c1,22,258
22j,2389,nd,22,250
22j,2389,c2,22,258
22j,2390,pts1,4,205
22j,2391,bj,30,444
22j,2393,dy,27,343
22j,2393,pts1,4,206
22j,2393,s3,27,344
22j,2395,nd,22,251
22j,2395,pts1,4,207
22j,2395,vp,68,200
22j,2396,c1,22,259
22j,2396,c2,22,259
22j,2398,dy,27,344
22j,2398,bj,30,446
22j,2398,pts1,4,208
22j,2398,s3,27,345
22j,2399,pts1,4,209
22j,2404,,4,210
22j,2406,nd,22,252
22j,2407,c1,22,260
22j,2407,c2,22,260
22j,2407,dy,27,345
22j,2407,pts1,4,211
22j,2407,s3,27,346
22j,2409,bj,30,448
22j,2409,vp,68,201
22j,2412,pts1,4,214
22j,2413,,4,216
22j,2415,dy,27,346
22j,2416,nd,22,253
22j,2416,pts1,4,217
22j,2416,s3,27,347
22j,2417,c1,22,261
22j,2417,c2,22,261
22j,2420,bj,30,450
22j,2423,dy,27,347
22j,2423,pts1,4,218
22j,2423,vp,68,202
22j,2424,s3,27,348
22j,2426,nd,22,254
22j,2426,pts1,4,221
22j,2427,c1,22,262
22j,2427,c2,22,262
22j,2429,pts1,4,222
22j,2430,bj,30,452
22j,2431,dy,27,348
22j,2433,s3,27,349
22j,2435,vp,68,203
22j,2436,nd,22,255
22j,2436,pts1,4,223
22j,2438,c1,22,263
22j,2438,c2,22,263
22j,2439,dy,27,349
22j,2441,pts1,4,225
22j,2441,s3,27,350
22j,2442,bj,30,454
22j,2445,pts1,4,226
22j,2447,nd,22,256
22j,2447,dy,27,350
22j,2448,c1,22,264
22j,2448,c2,22,264
22j,2448,s3,27,351
22j,2449,pts1,4,227
22j,2449,vp,68,204
22j,2455,dy,27,351
22j,2455,bj,30,456
22j,2455,pts1,4,232
22j,2455,s3,27,352
22j,2456,pts1,4,233
22j,2457,nd,22,257
22j,2458,c1,22,265
22j,2458,c2,22,265
22j,2462,bj,30,458
22j,2463,dy,27,352
22j,2463,s3,27,353
22j,2463,vp,68,205
22j,2464,pts1,4,234
22j,2465,,4,235
22j,2467,nd,22,258
22j,2469,c1,22,266
22j,2469,c2,22,266
22j,2469,bj,30,460
22j,2469,pts1,4,236
22j,2470,dy,27,353
22j,2470,s3,27,354
22j,2472,pts1,4,239
22j,2473,,4,240
22j,2476,vp,68,206
22j,2478,nd,22,259
22j,2478,dy,27,354
22j,2478,s3,27,355
22j,2479,c1,22,267
22j,2479,c2,22,267
22j,2480,bj,30,462
22j,2480,pts1,4,241
22j,2486,s3,27,356
22j,2487,dy,27,355
22j,2488,nd,22,260
22j,2488,vp,68,207
22j,2489,c1,22,268
22j,2489,c2,22,268
22j,2491,bj,30,464
22j,2494,pts1,4,247
22j,2494,s3,27,357
22j,2495,dy,27,356
22j,2495,pts1,4,248
22j,2496,,4,249
22j,2497,c1,22,269
22j,2497,nd,22,261
22j,2497,c2,22,269
22j,2497,pts1,4,250
22j,2498,,4,251
22j,2499,s3,27,358
22j,2500,dy,27,357
22j,2500,bj,30,466
22j,2500,pts1,4,252
22j,2502,,4,253
22j,2502,vp,68,208
22j,2503,c1,22,270
22j,2503,nd,22,262
22j,2503,c2,22,270
22j,2504,pts1,4,254
22j,2504,s3,27,359
22j,2505,dy,27,358
22j,2508,bj,30,468
22j,2508,pts1,4,257
22j,2510,,4,258
22j,2510,s3,27,360
22j,2511,dy,27,359
22j,2512,c1,22,271
22j,2512,nd,22,263
22j,2512,c2,22,271
22j,2513,pts1,4,259
22j,2515,,4,260
22j,2515,vp,68,209
22j,2517,s3,27,361
22j,2518,dy,27,360
22j,2518,bj,30,470
22j,2518,pts1,4,261
22j,2519,nd,22,264
22j,2520,c1,22,272
22j,2520,c2,22,272
22j,2522,pts1,4,262
22j,2524,s3,27,362
22j,2526,dy,27,361
22j,2526,pts1,4,269
22j,2528,vp,68,210
22j,2529,nd,22,265
22j,2529,bj,30,472
22j,2530,pts1,4,270
22j,2531,c1,22,273
22j,2531,c2,22,273
22j,2532,pts1,4,271
22j,2532,s3,27,363
22j,2533,dy,27,362
22j,2535,pts1,4,272
22j,2536,nd,22,266
22j,2537,pts1,4,273
22j,2537,s3,27,364
22j,2538,dy,27,363
22j,2538,bj,30,474
22j,2539,c1,22,274
22j,2539,c2,22,274
22j,2541,pts1,4,274
22j,2542,vp,68,211
22j,2543,nd,22,267
22j,2543,dy,27,364
22j,2543,s3,27,365
22j,2547,c1,22,275
22j,2547,c2,22,275
22j,2548,c1,22,276
22j,2548,nd,22,268
22j,2548,c2,22,276
22j,2548,dy,27,365
22j,2548,bj,30,476
22j,2548,pts1,4,278
22j,2548,s3,27,366
22j,2548,vp,68,212
22j,2551,pts1,4,279
22j,2554,,4,280
22j,2555,s3,27,367
22j,2556,dy,27,366
22j,2557,nd,22,269
22j,2558,c1,22,277
22j,2558,c2,22,277
22j,2559,bj,30,478
22j,2559,vp,68,213
22j,2561,pts1,4,281
22j,2563,s3,27,368
22j,2564,dy,27,367
22j,2564,pts1,4,282
22j,2566,nd,22,270
22j,2566,pts1,4,284
22j,2567,c1,22,278
22j,2567,c2,22,278
22j,2568,bj,30,480
22j,2570,pts1,4,285
22j,2571,nd,22,271
22j,2571,dy,27,368
22j,2571,s3,27,369
22j,2573,vp,68,214
22j,2576,bj,30,482
22j,2576,pts1,4,286
22j,2577,nd,22,272
22j,2578,c1,22,279
22j,2578,c2,22,279
22j,2579,dy,27,369
22j,2580,s3,27,370
22j,2581,pts1,4,287
22j,2583,nd,22,273
22j,2584,bj,30,484
22j,2587,dy,27,370
22j,2588,vp,68,215
22j,2589,s3,27,371
22j,2590,c1,22,280
22j,2590,nd,22,274
22j,2590,c2,22,280
22j,2590,pts1,4,288
22j,2593,bj,30,486
22j,2593,pts1,4,291
22j,2594,dy,27,371
22j,2595,s3,27,372
22j,2596,nd,22,275
22j,2596,pts1,4,292
22j,2597,c1,22,281
22j,2597,c2,22,281
22j,2598,pts1,4,293
22j,2599,dy,27,372
22j,2601,bj,30,488
22j,2601,pts1,4,294
22j,2601,s3,27,373
22j,2602,nd,22,276
22j,2602,vp,68,216
22j,2603,pts1,4,295
22j,2604,c1,22,282
22j,2604,c2,22,282
22j,2604,dy,27,373
22j,2605,pts1,4,296
22j,2606,s3,27,374
22j,2609,nd,22,277
22j,2609,bj,30,490
22j,2610,dy,27,374
22j,2612,c1,22,283
22j,2612,c2,22,283
22j,2612,pts1,4,299
22j,2613,,4,300
22j,2613,s3,27,375
22j,2615,pts1,4,301
22j,2616,dy,27,375
22j,2616,vp,68,217
22j,2617,nd,22,278
22j,2617,pts1,4,302
22j,2618,c1,22,284
22j,2618,c2,22,284
22j,2619,bj,30,492
22j,2619,s3,27,376
22j,2621,pts1,4,303
22j,2623,dy,27,376
22j,2626,nd,22,279
22j,2626,pts1,4,304
22j,2627,c1,22,285
22j,2627,c2,22,285
22j,2627,s3,27,377
22j,2629,bj,30,494
22j,2629,pts1,4,308
22j,2629,vp,68,218
22j,2630,dy,27,377
22j,2630,pts1,4,309
22j,2632,s3,27,378
22j,2634,c1,22,286
22j,2634,nd,22,280
22j,2634,c2,22,286
22j,2635,dy,27,378
22j,2636,pts1,4,310
22j,2637,bj,30,496
22j,2637,s3,27,379
22j,2640,c1,22,287
22j,2640,nd,22,281
22j,2640,c2,22,287
22j,2640,dy,27,379
22j,2642,pts1,4,312
22j,2642,s3,27,380
22j,2643,vp,68,219
22j,2644,bj,30,498
22j,2645,dy,27,380
22j,2645,pts1,4,313
22j,2646,nd,22,282
22j,2647,c1,22,288
22j,2647,c2,22,288
22j,2647,s3,27,381
22j,2649,pts1,4,314
22j,2651,dy,27,381
22j,2654,bj,30,500
22j,2654,pts1,4,319
22j,2654,s3,27,382
22j,2655,nd,22,283
22j,2656,c1,22,289
22j,2656,c2,22,289
22j,2656,pts1,4,320
22j,2657,vp,68,220
22j,2659,dy,27,382
22j,2663,s3,27,383
22j,2666,nd,22,284
22j,2666,bj,30,502
22j,2668,c1,22,290
22j,2668,c2,22,290
22j,2668,dy,27,383
22j,2669,pts1,4,321
22j,2671,,4,322
22j,2671,vp,68,221
22j,2672,s3,27,384
22j,2677,nd,22,285
22j,2677,dy,27,384
22j,2680,c1,22,291
22j,2680,c2,22,291
22j,2680,bj,30,504
22j,2680,pts1,4,329
22j,2680,s3,27,385
22j,2683,dy,27,385
22j,2683,pts1,4,330
22j,2684,nd,22,286
22j,2685,s3,27,386
22j,2685,vp,68,222
22j,2686,c1,22,292
22j,2686,c2,22,292
22j,2687,bj,30,506
22j,2688,dy,27,386
22j,2689,pts1,4,331
22j,2690,nd,22,287
22j,2690,s3,27,387
22j,2692,c1,22,293
22j,2692,c2,22,293
22j,2693,dy,27,387
22j,2694,pts1,4,332
22j,2695,bj,30,508
22j,2695,s3,27,388
22j,2697,nd,22,288
22j,2697,pts1,4,337
22j,2698,dy,27,388
22j,2699,c1,22,294
22j,2699,c2,22,294
22j,2699,s3,27,389
22j,2699,vp,68,223
22j,2701,pts1,4,338
22j,2703,nd,22,289
22j,2703,dy,27,389
22j,2704,bj,30,510
22j,2705,c1,22,295
22j,2705,c2,22,295
22j,2705,pts1,4,339
22j,2705,s3,27,390
22j,2708,dy,27,390
22j,2709,nd,22,290
22j,2709,pts1,4,340
22j,2710,s3,27,391
22j,2711,pts1,4,341
22j,2712,c1,22,296
22j,2712,c2,22,296
22j,2712,bj,30,512
22j,2713,dy,27,391
22j,2713,pts1,4,342
22j,2713,vp,68,224
22j,2715,pts1,4,344
22j,2715,s3,27,392
22j,2716,nd,22,291
22j,2720,pts1,4,345
22j,2721,dy,27,392
22j,2722,c1,22,297
22j,2722,c2,22,297
22j,2723,bj,30,514
22j,2723,pts1,4,346
22j,2724,s3,27,393
22j,2725,nd,22,292
22j,2726,pts1,4,347
22j,2727,dy,27,393
22j,2727,vp,68,225
22j,2731,c1,22,298
22j,2731,c2,22,298
22j,2731,pts1,4,348
22j,2731,s3,27,394
22j,2732,pts1,4,349
22j,2733,bj,30,516
22j,2734,dy,27,394
22j,2734,pts1,4,350
22j,2736,nd,22,293
22j,2736,pts1,4,351
22j,2740,s3,27,395
22j,2741,vp,68,226
22j,2742,pts1,4,352
22j,2743,c1,22,299
22j,2743,c2,22,299
22j,2743,dy,27,395
22j,2746,nd,22,294
22j,2746,bj,30,518
22j,2749,s3,27,396
22j,2751,dy,27,396
22j,2754,c1,22,300
22j,2754,c2,22,300
22j,2754,pts1,4,353
22j,2754,vp,68,227
22j,2755,pts1,4,354
22j,2757,nd,22,295
22j,2759,dy,27,397
22j,2759,bj,30,520
22j,2759,pts1,4,355
22j,2759,s3,27,397
22j,2760,pts1,4,356
22j,2765,c1,22,301
22j,2765,c2,22,301
22j,2765,dy,27,398
22j,2765,s3,27,398
22j,2766,nd,22,296
22j,2766,pts1,4,357
22j,2766,vp,68,228
22j,2769,bj,30,522
22j,2769,pts1,4,358
22j,2772,dy,27,399
22j,2772,s3,27,399
22j,2773,pts1,4,359
22j,2774,c1,22,302
22j,2774,nd,22,297
22j,2774,c2,22,302
22j,2778,pts1,4,360
22j,2780,dy,27,400
22j,2780,bj,30,524
22j,2780,pts1,4,361
22j,2780,s3,27,400
22j,2780,vp,68,229
22j,2785,c1,22,303
22j,2785,c2,22,303
22j,2786,nd,22,298
22j,2786,pts1,4,362
22j,2788,dy,27,401
22j,2789,s3,27,401
22j,2791,bj,30,526
22j,2792,vp,68,230
22j,2796,c1,22,304
22j,2796,nd,22,299
22j,2796,c2,22,304
22j,2796,dy,27,402
22j,2797,s3,27,402
22j,2798,pts1,4,363
22j,2803,vp,68,231
22j,2804,dy,27,403
22j,2805,s3,27,403
22j,2807,nd,22,300
22j,2808,c1,22,305
22j,2808,c2,22,305
22j,2808,bj,30,528
22j,2809,pts1,4,364
22j,2811,dy,27,404
22j,2814,s3,27,404
22j,2814,vp,68,232
22j,2818,nd,22,301
22j,2818,bj,30,530
22j,2819,c1,22,306
22j,2819,c2,22,306
22j,2819,dy,27,405
22j,2820,pts1,4,365
22j,2823,s3,27,405
22j,2825,pts1,4,367
22j,2826,vp,68,233
22j,2827,dy,27,406
22j,2829,nd,22,302
22j,2829,bj,30,532
22j,2829,pts1,4,371
22j,2830,c1,22,307
22j,2830,c2,22,307
22j,2831,s3,27,406
22j,2836,dy,27,407
22j,2840,nd,22,303
22j,2840,bj,30,534
22j,2840,vp,68,234
22j,2841,c1,22,308
22j,2841,c2,22,308
22j,2841,pts1,4,372
22j,2841,s3,27,407
22j,2845,dy,27,408
22j,2847,pts1,4,373
22j,2852,s3,27,408
22j,2853,c1,22,309
22j,2853,nd,22,304
22j,2853,c2,22,309
22j,2853,dy,27,409
22j,2853,bj,31,2
22j,2853,pts1,4,380
22j,2853,s3,27,409
22j,2853,vp,68,235
22j,2856,pts1,4,381
22j,2857,dy,27,410
22j,2857,s3,27,410
22j,2858,nd,22,305
22j,2858,bj,31,4
22j,2859,c1,22,310
22j,2859,c2,22,310
22j,2859,pts1,4,382
22j,2861,,4,383
22j,2862,s3,27,411
22j,2863,dy,27,411
22j,2864,pts1,4,384
22j,2864,vp,68,236
22j,2865,nd,22,306
22j,2866,c1,22,311
22j,2866,c2,22,311
22j,2867,bj,31,6
22j,2867,pts1,4,385
22j,2867,s3,27,412
22j,2868,dy,27,412
22j,2871,nd,22,307
22j,2872,pts1,4,386
22j,2872,s3,27,413
22j,2873,c1,22,312
22j,2873,c2,22,312
22j,2873,dy,27,413
22j,2873,pts1,4,387
22j,2875,bj,31,8
22j,2877,pts1,4,394
22j,2877,s3,27,414
22j,2878,nd,22,308
22j,2878,dy,27,414
22j,2878,vp,68,237
22j,2881,c1,22,313
22j,2881,c2,22,313
22j,2881,pts1,4,395
22j,2883,dy,27,415
22j,2883,bj,31,10
22j,2883,s3,27,415
22j,2884,nd,22,309
22j,2885,pts1,4,396
22j,2888,s3,27,416
22j,2889,c1,22,314
22j,2889,c2,22,314
22j,2890,dy,27,416
22j,2891,pts1,4,397
22j,2893,nd,22,310
22j,2893,bj,31,12
22j,2893,pts1,4,398
22j,2893,vp,68,238
22j,2895,s3,27,417
22j,2896,dy,27,417
22j,2897,c1,22,315
22j,2897,c2,22,315
22j,2897,pts1,4,399
22j,2899,nd,22,311
22j,2900,s3,27,418
22j,2901,dy,27,418
22j,2902,bj,31,14
22j,2902,pts1,4,400
22j,2904,c1,22,316
22j,2904,c2,22,316
22j,2906,pts1,4,403
22j,2906,s3,27,419
22j,2907,nd,22,312
22j,2907,dy,27,419
22j,2907,vp,68,239
22j,2908,pts1,4,404
22j,2912,c1,22,317
22j,2912,c2,22,317
22j,2912,bj,31,16
22j,2912,s3,27,420
22j,2914,dy,27,420
22j,2914,pts1,4,405
22j,2916,nd,22,313
22j,2919,pts1,4,406
22j,2919,s3,27,421
22j,2920,dy,27,421
22j,2921,c1,22,318
22j,2921,c2,22,318
22j,2921,pts1,4,408
22j,2921,vp,68,240
22j,2922,bj,31,18
22j,2923,pts1,4,409
22j,2924,nd,22,314
22j,2927,s3,27,422
22j,2928,pts1,4,410
22j,2929,dy,27,422
22j,2931,pts1,4,411
22j,2932,,4,412
22j,2933,c1,22,319
22j,2933,c2,22,319
22j,2934,bj,31,20
22j,2935,nd,22,315
22j,2935,s3,27,423
22j,2935,vp,68,241
22j,2938,dy,27,423
22j,2940,s3,27,424
22j,2941,c1,22,320
22j,2941,nd,22,316
22j,2941,c2,22,320
22j,2942,dy,27,424
22j,2942,bj,31,22
22j,2944,s3,27,425
22j,2946,c1,22,321
22j,2946,nd,22,317
22j,2946,c2,22,321
22j,2946,dy,27,425
22j,2946,pts1,6,359
22j,2946,vp,68,242
22j,2948,s3,27,426
22j,2949,bj,31,24
22j,2950,dy,27,426
22j,2951,c1,22,322
22j,2951,nd,22,318
22j,2951,c2,22,322
22j,2951,s3,27,427
22j,2953,dy,27,427
22j,2955,nd,22,319
22j,2955,s3,27,428
22j,2956,c1,22,323
22j,2956,c2,22,323
22j,2956,bj,31,26
22j,2956,vp,68,243
22j,2957,dy,27,428
22j,2958,s3,27,429
22j,2960,pts1,4,415
22j,2963,nd,22,320
22j,2964,c1,22,324
22j,2964,c2,22,324
22j,2964,dy,27,429
22j,2964,pts1,4,416
22j,2965,bj,31,28
22j,2967,s3,27,430
22j,2969,pts1,4,417
22j,2969,vp,68,244
22j,2973,dy,27,430
22j,2973,pts1,4,418
22j,2975,nd,22,321
22j,2975,pts1,4,419
22j,2976,bj,31,30
22j,2977,c1,22,325
22j,2977,c2,22,325
22j,2977,s3,27,431
22j,2978,pts1,4,420
22j,2982,dy,27,431
22j,2984,pts1,4,421
22j,2984,vp,68,245
22j,2986,pts1,4,422
22j,2987,nd,22,322
22j,2987,bj,31,32
22j,2987,s3,27,432
22j,2990,c1,22,326
22j,2990,c2,22,326
22j,2990,pts1,4,424
22j,2991,dy,27,432
22j,2993,pts1,4,425
22j,2996,s3,27,433
22j,2997,bj,31,34
22j,2997,pts1,4,426
22j,2998,vp,68,246
22j,2999,nd,22,323
22j,3000,dy,27,433
22j,3002,c1,22,327
22j,3002,c2,22,327
22j,3002,pts1,4,427
22j,3004,,4,428
22j,3006,s3,27,434
22j,3009,bj,31,36
22j,3010,dy,27,434
22j,3011,nd,22,324
22j,3012,pts1,4,429
22j,3013,vp,68,247
22j,3015,c1,22,328
22j,3015,c2,22,328
22j,3017,pts1,4,432
22j,3017,s3,27,435
22j,3019,dy,27,435
22j,3019,bj,31,38
22j,3022,nd,22,325
22j,3024,pts1,4,433
22j,3026,s3,27,436
22j,3027,c1,22,329
22j,3027,c2,22,329
22j,3027,vp,68,248
22j,3028,dy,27,436
22j,3028,pts1,4,434
22j,3031,bj,31,40
22j,3034,nd,22,326
22j,3035,s3,27,437
22j,3036,pts1,4,435
22j,3037,dy,27,437
22j,3040,c1,22,330
22j,3040,c2,22,330
22j,3041,bj,31,42
22j,3041,vp,68,249
22j,3042,pts1,4,436
22j,3045,nd,22,327
22j,3045,dy,27,438
22j,3045,pts1,4,438
22j,3045,s3,27,438
22j,3048,c1,22,331
22j,3048,c2,22,331
22j,3048,pts1,4,439
22j,3049,s3,27,439
22j,3050,dy,27,439
22j,3050,bj,31,44
22j,3051,nd,22,328
22j,3053,pts1,4,440
22j,3054,s3,27,440
22j,3054,vp,68,250
22j,3055,c1,22,332
22j,3055,c2,22,332
22j,3055,dy,27,440
22j,3057,nd,22,329
22j,3058,bj,31,46
22j,3059,s3,27,441
22j,3060,dy,27,441
22j,3060,pts1,4,441
22j,3062,c1,22,333
22j,3062,c2,22,333
22j,3063,nd,22,330
22j,3064,s3,27,442
22j,3065,dy,27,442
22j,3066,pts1,4,443
22j,3067,bj,31,48
22j,3068,vp,68,251
22j,3069,c1,22,334
22j,3069,nd,22,331
22j,3069,c2,22,334
22j,3069,s3,27,443
22j,3071,dy,27,443
22j,3071,pts1,4,446
22j,3072,,4,447
22j,3075,s3,27,444
22j,3076,bj,31,50
22j,3077,c1,22,335
22j,3077,nd,22,332
22j,3077,c2,22,335
22j,3077,dy,27,444
22j,3078,pts1,4,448
22j,3080,,4,449
22j,3080,s3,27,445
22j,3082,dy,27,445
22j,3082,vp,68,252
22j,3083,nd,22,333
22j,3083,pts1,4,450
22j,3084,c1,22,336
22j,3084,c2,22,336
22j,3085,bj,31,52
22j,3085,s3,27,446
22j,3087,dy,27,446
22j,3087,pts1,4,451
22j,3091,nd,22,334
22j,3092,c1,22,337
22j,3092,c2,22,337
22j,3092,s3,27,447
22j,3093,dy,27,447
22j,3094,bj,31,54
22j,3095,pts1,4,452
22j,3096,vp,68,253
22j,3097,nd,22,335
22j,3097,pts1,4,453
22j,3097,s3,27,448
22j,3098,dy,27,448
22j,3099,c1,22,338
22j,3099,c2,22,338
22j,3101,pts1,4,459
22j,3103,bj,31,56
22j,3103,s3,27,449
22j,3104,nd,22,336
22j,3105,dy,27,449
22j,3106,pts1,4,460
22j,3107,c1,22,339
22j,3107,c2,22,339
22j,3109,pts1,4,461
22j,3109,s3,27,450
22j,3110,dy,27,450
22j,3110,vp,68,254
22j,3111,nd,22,337
22j,3113,bj,31,58
22j,3114,pts1,4,462
22j,3115,c1,22,340
22j,3115,c2,22,340
22j,3115,s3,27,451
22j,3116,dy,27,451
22j,3118,nd,22,338
22j,3118,pts1,4,463
22j,3120,s3,27,452
22j,3121,c1,22,341
22j,3121,c2,22,341
22j,3121,dy,27,452
22j,3122,bj,31,60
22j,3123,pts1,4,464
22j,3124,nd,22,339
22j,3124,vp,68,255
22j,3125,s3,27,453
22j,3128,dy,27,453
22j,3129,pts1,4,465
22j,3130,c1,22,342
22j,3130,c2,22,342
22j,3131,nd,22,340
22j,3131,bj,31,62
22j,3131,s3,27,454
22j,3132,pts1,4,466
22j,3133,dy,27,454
22j,3136,c1,22,343
22j,3136,c2,22,343
22j,3136,s3,27,455
22j,3137,nd,22,341
22j,3137,vp,68,256
22j,3138,dy,27,455
22j,3139,bj,31,64
22j,3139,pts1,4,467
22j,3141,s3,27,456
22j,3143,c1,22,344
22j,3143,nd,22,342
22j,3143,c2,22,344
22j,3143,dy,27,456
22j,3143,pts1,4,468
22j,3146,,4,469
22j,3147,s3,27,457
22j,3148,bj,31,66
22j,3151,dy,27,457
22j,3151,vp,68,257
22j,3153,pts1,4,470
22j,3154,c1,22,345
22j,3154,nd,22,343
22j,3154,c2,22,345
22j,3157,s3,27,458
22j,3160,dy,27,458
22j,3161,bj,31,68
22j,3162,pts1,4,471
22j,3165,nd,22,344
22j,3165,vp,68,258
22j,3166,c1,22,346
22j,3166,c2,22,346
22j,3167,s3,27,459
22j,3169,dy,27,459
22j,3173,bj,31,70
22j,3176,s3,27,460
22j,3178,c1,22,347
22j,3178,nd,22,345
22j,3178,c2,22,347
22j,3178,dy,27,460
22j,3178,pts1,4,473
22j,3179,vp,68,259
22j,3182,s3,27,461
22j,3183,nd,22,346
22j,3183,dy,27,461
22j,3183,bj,31,72
22j,3184,c1,22,348
22j,3184,c2,22,348
22j,3187,s3,27,462
22j,3188,dy,27,462
22j,3189,nd,22,347
22j,3190,c1,22,349
22j,3190,c2,22,349
22j,3192,bj,31,74
22j,3192,s3,27,463
22j,3193,dy,27,463
22j,3193,vp,68,260
22j,3195,nd,22,348
22j,3198,c1,22,350
22j,3198,c2,22,350
22j,3198,s3,27,464
22j,3199,dy,27,464
22j,3201,bj,31,76
22j,3201,pts1,4,476
22j,3204,,4,477
22j,3205,nd,22,349
22j,3205,pts1,4,478
22j,3205,s3,27,465
22j,3206,dy,27,465
22j,3207,c1,22,351
22j,3207,c2,22,351
22j,3207,vp,68,261
22j,3209,pts1,4,480
22j,3210,bj,31,78
22j,3210,s3,27,466
22j,3211,nd,22,350
22j,3211,dy,27,466
22j,3211,pts1,4,481
22j,3213,,4,482
22j,3214,c1,22,352
22j,3214,c2,22,352
22j,3215,pts1,4,483
22j,3215,s3,27,467
22j,3216,dy,27,467
22j,3216,pts1,4,484
22j,3217,nd,22,351
22j,3217,pts1,4,485
22j,3218,bj,31,80
22j,3218,pts1,4,486
22j,3221,,4,487
22j,3221,vp,68,262
22j,3222,c1,22,353
22j,3222,c2,22,353
22j,3222,dy,27,468
22j,3222,s3,27,468
22j,3224,nd,22,352
22j,3228,dy,27,469
22j,3228,bj,31,82
22j,3228,pts1,4,494
22j,3228,s3,27,469
22j,3229,c1,22,354
22j,3229,c2,22,354
22j,3231,nd,22,353
22j,3233,dy,27,470
22j,3233,s3,27,470
22j,3235,vp,68,263
22j,3236,c1,22,355
22j,3236,c2,22,355
22j,3236,bj,31,84
22j,3237,nd,22,354
22j,3237,pts1,4,495
22j,3238,dy,27,471
